"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"14.06.2024","0,00001160","0,00001190","0,00001227","0,00001060","41.859,96B","-2,52%"
"13.06.2024","0,00001190","0,00001321","0,00001332","0,00001172","37.505,38B","-9,92%"
"12.06.2024","0,00001321","0,00001274","0,00001388","0,00001212","57.566,57B","3,69%"
"11.06.2024","0,00001274","0,00001208","0,00001300","0,00001145","52.794,46B","5,46%"
"10.06.2024","0,00001208","0,00001275","0,00001309","0,00001206","26.339,15B","-5,25%"
"09.06.2024","0,00001275","0,00001211","0,00001294","0,00001187","28.787,62B","5,20%"
"08.06.2024","0,00001212","0,00001280","0,00001322","0,00001200","34.826,08B","-5,31%"
"07.06.2024","0,00001280","0,00001434","0,00001452","0,00001154","56.525,60B","-10,74%"
"06.06.2024","0,00001434","0,00001460","0,00001518","0,00001426","25.282,10B","-1,58%"
"05.06.2024","0,00001457","0,00001436","0,00001506","0,00001409","35.900,75B","1,46%"
"04.06.2024","0,00001436","0,00001444","0,00001478","0,00001400","34.006,30B","-0,55%"
"03.06.2024","0,00001444","0,00001462","0,00001548","0,00001436","38.602,28B","-1,23%"
"02.06.2024","0,00001462","0,00001486","0,00001505","0,00001391","36.679,70B","-1,62%"
"01.06.2024","0,00001486","0,00001542","0,00001573","0,00001475","30.091,06B","-3,63%"
"31.05.2024","0,00001542","0,00001441","0,00001576","0,00001429","53.838,66B","7,01%"
"30.05.2024","0,00001441","0,00001476","0,00001521","0,00001318","74.450,57B","-2,37%"
"29.05.2024","0,00001476","0,00001601","0,00001653","0,00001442","53.484,73B","-7,81%"
"28.05.2024","0,00001601","0,00001671","0,00001710","0,00001568","61.951,38B","-4,19%"
"27.05.2024","0,00001671","0,00001604","0,00001722","0,00001601","62.908,70B","4,44%"
"26.05.2024","0,00001600","0,00001495","0,00001636","0,00001467","59.470,89B","7,02%"
"25.05.2024","0,00001495","0,00001414","0,00001580","0,00001411","56.381,56B","5,73%"
"24.05.2024","0,00001414","0,00001492","0,00001515","0,00001345","58.122,61B","-5,23%"
"23.05.2024","0,00001492","0,00001340","0,00001565","0,00001310","124.314,03B","11,34%"
"22.05.2024","0,00001340","0,00001382","0,00001427","0,00001256","91.546,60B","-3,04%"
"21.05.2024","0,00001382","0,00001140","0,00001408","0,00001085","124.117,92B","21,23%"
"20.05.2024","0,00001140","0,00000916","0,00001140","0,00000896","73.761,62B","24,45%"
"19.05.2024","0,00000916","0,00000955","0,00000960","0,00000891","28.050,28B","-4,08%"
"18.05.2024","0,00000955","0,00001018","0,00001045","0,00000921","34.953,02B","-6,19%"
"17.05.2024","0,00001018","0,00001004","0,00001043","0,00000984","37.853,28B","1,39%"
"16.05.2024","0,00001004","0,00001052","0,00001079","0,00000963","55.479,93B","-4,56%"
"15.05.2024","0,00001052","0,00001056","0,00001158","0,00000998","101.347,72B","-0,38%"
"14.05.2024","0,00001056","0,00000992","0,00001135","0,00000984","133.624,43B","6,45%"
"13.05.2024","0,00000992","0,00000875","0,00001107","0,00000830","119.194,07B","13,37%"
"12.05.2024","0,00000875","0,00000852","0,00000895","0,00000849","27.898,23B","2,70%"
"11.05.2024","0,00000852","0,00000840","0,00000894","0,00000839","38.543,09B","1,43%"
