"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"14.06.2024","0,5882","0,6048","0,6127","0,5732","81,00M","-2,74%"
"13.06.2024","0,6048","0,6447","0,6459","0,6007","70,67M","-6,19%"
"12.06.2024","0,6447","0,6175","0,6506","0,6062","77,89M","4,40%"
"11.06.2024","0,6175","0,6497","0,6516","0,6115","90,15M","-4,95%"
"10.06.2024","0,6497","0,6551","0,6628","0,6371","47,23M","-0,83%"
"09.06.2024","0,6551","0,6497","0,6564","0,6444","23,05M","0,83%"
"08.06.2024","0,6497","0,6670","0,6692","0,6415","42,42M","-2,59%"
"07.06.2024","0,6670","0,7258","0,7282","0,6208","116,51M","-8,10%"
"06.06.2024","0,7258","0,7248","0,7408","0,7143","56,83M","0,13%"
"05.06.2024","0,7248","0,7151","0,7263","0,7082","38,97M","1,36%"
"04.06.2024","0,7151","0,7046","0,7193","0,6977","43,54M","1,48%"
"03.06.2024","0,7046","0,6899","0,7125","0,6832","55,35M","2,14%"
"02.06.2024","0,6899","0,6991","0,7055","0,6864","33,41M","-1,31%"
"01.06.2024","0,6991","0,6945","0,7032","0,6916","26,70M","0,66%"
"31.05.2024","0,6945","0,6966","0,7088","0,6849","59,96M","-0,31%"
"30.05.2024","0,6966","0,7151","0,7227","0,6897","73,40M","-2,58%"
"29.05.2024","0,7151","0,7323","0,7460","0,7140","89,49M","-2,35%"
"28.05.2024","0,7323","0,7443","0,7497","0,7225","72,42M","-1,61%"
"27.05.2024","0,7443","0,7161","0,7509","0,7138","63,16M","3,94%"
"26.05.2024","0,7161","0,7293","0,7331","0,7133","35,38M","-1,83%"
"25.05.2024","0,7295","0,7237","0,7335","0,7209","29,81M","0,80%"
"24.05.2024","0,7237","0,7438","0,7555","0,7043","62,37M","-2,70%"
"23.05.2024","0,7438","0,7233","0,7580","0,6969","150,92M","2,83%"
"22.05.2024","0,7234","0,7292","0,7331","0,7032","86,14M","-0,80%"
"21.05.2024","0,7292","0,7506","0,7588","0,7194","101,04M","-2,94%"
"20.05.2024","0,7512","0,6831","0,7561","0,6753","92,04M","9,98%"
"19.05.2024","0,6831","0,7092","0,7125","0,6806","34,78M","-3,68%"
"18.05.2024","0,7092","0,7135","0,7218","0,7078","26,83M","-0,61%"
"17.05.2024","0,7136","0,6941","0,7205","0,6903","47,88M","2,81%"
"16.05.2024","0,6941","0,6862","0,6981","0,6669","61,06M","1,15%"
"15.05.2024","0,6862","0,6494","0,6878","0,6444","61,33M","5,66%"
"14.05.2024","0,6494","0,6634","0,6671","0,6482","65,21M","-2,06%"
"13.05.2024","0,6631","0,6708","0,6801","0,6470","61,84M","-1,14%"
"12.05.2024","0,6708","0,6757","0,6839","0,6685","19,57M","-0,73%"
"11.05.2024","0,6757","0,6720","0,6877","0,6716","33,52M","0,55%"
"10.05.2024","0,6720","0,6943","0,7017","0,6647","54,94M","-3,20%"
"09.05.2024","0,6943","0,6810","0,6986","0,6722","43,63M","1,95%"
"08.05.2024","0,6810","0,6932","0,6953","0,6728","65,29M","-1,76%"
"07.05.2024","0,6932","0,7095","0,7186","0,6899","61,00M","-2,31%"
"06.05.2024","0,7095","0,7337","0,7775","0,7095","83,87M","-3,29%"
"05.05.2024","0,7337","0,7289","0,7408","0,7190","32,11M","0,66%"
"04.05.2024","0,7289","0,7320","0,7397","0,7243","33,21M","-0,41%"
"03.05.2024","0,7320","0,7208","0,7410","0,7147","49,42M","1,55%"
"02.05.2024","0,7208","0,6918","0,7263","0,6735","53,81M","4,19%"
"01.05.2024","0,6918","0,6671","0,6969","0,6327","109,74M","3,74%"
"30.04.2024","0,6669","0,7042","0,7127","0,6493","82,80M","-5,31%"
"29.04.2024","0,7042","0,7211","0,7330","0,6904","73,04M","-2,34%"
"28.04.2024","0,7211","0,7328","0,7495","0,7184","50,59M","-1,60%"
"27.04.2024","0,7328","0,7024","0,7354","0,6833","70,48M","4,33%"
"26.04.2024","0,7024","0,7202","0,7312","0,7000","69,37M","-2,49%"
"25.04.2024","0,7203","0,7047","0,7268","0,6914","74,27M","2,22%"
"24.04.2024","0,7047","0,7292","0,7634","0,6982","93,19M","-3,35%"
"23.04.2024","0,7292","0,7424","0,7484","0,7231","50,41M","-1,78%"
"22.04.2024","0,7423","0,7139","0,7493","0,7093","64,90M","3,98%"
"21.04.2024","0,7139","0,7382","0,7447","0,7010","57,68M","-3,29%"
"20.04.2024","0,7382","0,6723","0,7403","0,6641","64,51M","9,80%"
"19.04.2024","0,6723","0,6756","0,6904","0,6213","135,98M","-0,49%"
"18.04.2024","0,6756","0,6680","0,6910","0,6503","93,09M","1,14%"
"17.04.2024","0,6680","0,7029","0,7097","0,6559","92,90M","-4,97%"
"16.04.2024","0,7029","0,7077","0,7297","0,6727","96,51M","-0,68%"
"15.04.2024","0,7077","0,7111","0,7513","0,6849","124,90M","-0,47%"
"14.04.2024","0,7111","0,6519","0,7177","0,6316","188,73M","9,07%"
"13.04.2024","0,6519","0,7656","0,7722","0,5892","307,15M","-14,85%"
"12.04.2024","0,7656","0,8781","0,8941","0,7327","187,13M","-12,81%"
"11.04.2024","0,8781","0,8875","0,8959","0,8618","61,18M","-1,06%"
"10.04.2024","0,8875","0,8974","0,9026","0,8582","87,35M","-1,11%"
"09.04.2024","0,8974","0,9465","0,9499","0,8945","80,02M","-5,19%"
"08.04.2024","0,9465","0,9116","0,9488","0,8902","73,57M","3,83%"
"07.04.2024","0,9116","0,8971","0,9230","0,8939","47,98M","1,62%"
"06.04.2024","0,8971","0,8839","0,9060","0,8814","40,87M","1,48%"
"05.04.2024","0,8840","0,9055","0,9084","0,8605","58,42M","-2,37%"
"04.04.2024","0,9055","0,8950","0,9221","0,8731","59,34M","1,17%"
"03.04.2024","0,8950","0,9001","0,9222","0,8753","71,51M","-0,57%"
"02.04.2024","0,9001","0,9511","0,9511","0,8859","92,94M","-5,36%"
"01.04.2024","0,9511","1,0033","1,0075","0,9270","89,47M","-5,21%"
"31.03.2024","1,0033","0,9799","1,0039","0,9771","35,78M","2,39%"
"30.03.2024","0,9799","0,9906","1,0036","0,9755","66,69M","-1,08%"
"29.03.2024","0,9906","1,0020","1,0060","0,9770","64,19M","-1,13%"
"28.03.2024","1,0020","1,0086","1,0258","0,9962","75,54M","-0,66%"
"27.03.2024","1,0086","1,0461","1,0867","1,0006","129,17M","-3,58%"
"26.03.2024","1,0461","1,0454","1,0771","1,0265","85,99M","0,07%"
"25.03.2024","1,0454","1,0116","1,0600","1,0025","85,89M","3,34%"
"24.03.2024","1,0115","0,9790","1,0147","0,9755","55,35M","3,33%"
"23.03.2024","0,9790","0,9729","1,0028","0,9551","61,65M","0,62%"
"22.03.2024","0,9729","0,9957","1,0185","0,9517","86,72M","-2,28%"
"21.03.2024","0,9957","1,0082","1,0130","0,9719","94,76M","-1,24%"
"20.03.2024","1,0082","0,9333","1,0161","0,9114","158,28M","8,03%"
"19.03.2024","0,9333","1,0305","1,0359","0,9110","198,40M","-9,43%"
"18.03.2024","1,0305","1,0886","1,0895","1,0097","102,08M","-5,33%"
"17.03.2024","1,0884","1,0424","1,0993","1,0071","121,94M","4,29%"
"16.03.2024","1,0436","1,1411","1,1683","1,0267","161,08M","-8,53%"
"15.03.2024","1,1410","1,2221","1,2300","1,0715","195,00M","-6,67%"
"14.03.2024","1,2226","1,2703","1,2839","1,1638","159,48M","-3,75%"
"13.03.2024","1,2703","1,1817","1,2887","1,1764","175,01M","7,49%"
"12.03.2024","1,1817","1,2406","1,2464","1,1320","149,85M","-4,76%"
"11.03.2024","1,2408","1,2290","1,2495","1,1727","168,53M","0,95%"
"10.03.2024","1,2290","1,1566","1,2449","1,1451","205,57M","6,26%"
"09.03.2024","1,1566","1,1247","1,1573","1,1179","86,44M","2,85%"
"08.03.2024","1,1246","1,1603","1,1770","1,0991","134,63M","-3,07%"
"07.03.2024","1,1603","1,1166","1,1746","1,1008","161,60M","3,91%"
"06.03.2024","1,1166","1,0336","1,1177","0,9940","201,87M","8,03%"
"05.03.2024","1,0336","1,1447","1,1460","0,9508","361,35M","-9,68%"
"04.03.2024","1,1443","1,0894","1,1492","1,0809","260,31M","5,04%"
"03.03.2024","1,0894","1,0949","1,1177","1,0339","160,15M","-0,50%"
"02.03.2024","1,0949","1,0250","1,0998","1,0234","175,07M","6,82%"
"01.03.2024","1,0250","1,0010","1,0292","1,0010","99,53M","2,40%"
"29.02.2024","1,0010","1,0092","1,0615","0,9809","175,23M","-0,82%"
"28.02.2024","1,0092","1,0287","1,0672","0,9655","205,39M","-1,89%"
"27.02.2024","1,0286","1,0588","1,0770","1,0169","127,49M","-2,84%"
"26.02.2024","1,0588","0,9984","1,0713","0,9719","184,59M","6,05%"
"25.02.2024","0,9984","0,9940","1,0037","0,9641","77,39M","0,44%"
"24.02.2024","0,9940","0,9866","1,0294","0,9740","83,75M","0,78%"
"23.02.2024","0,9863","0,9936","1,0061","0,9454","135,53M","-0,73%"
"22.02.2024","0,9936","0,9510","1,0500","0,9219","191,86M","4,47%"
"21.02.2024","0,9510","1,0234","1,0354","0,9086","153,46M","-7,07%"
"20.02.2024","1,0234","0,9973","1,0331","0,9430","158,79M","2,62%"
"19.02.2024","0,9973","0,9993","1,0105","0,9752","117,25M","-0,20%"
"18.02.2024","0,9993","0,9281","0,9997","0,9183","91,20M","7,67%"
"17.02.2024","0,9281","0,9507","0,9586","0,9046","89,20M","-2,38%"
"16.02.2024","0,9507","0,8897","0,9562","0,8860","147,96M","6,85%"
"15.02.2024","0,8897","0,8900","0,9097","0,8728","88,28M","-0,03%"
"14.02.2024","0,8900","0,8538","0,8932","0,8442","78,57M","4,24%"
"13.02.2024","0,8538","0,8796","0,8848","0,8436","76,59M","-2,94%"
"12.02.2024","0,8796","0,8353","0,8855","0,8185","84,63M","5,30%"
