SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,bitcoin,,2014-06-11 00:00:00,663.0,642.3,655.6,643.0,3.80000,0.0
2,bitcoin,,2014-06-12 00:00:00,643.8,591.1,643.0,597.1,4.59000,0.0
3,bitcoin,,2014-06-13 00:00:00,619.1,594.9,597.1,610.3,7.55000,0.0
4,bitcoin,,2014-06-14 00:00:00,613.8,563.7,610.3,583.4,5.00000,0.0
5,bitcoin,,2014-06-15 00:00:00,587.8,560.8,583.4,582.3,3.94000,0.0
6,bitcoin,,2014-06-16 00:00:00,606.1,580.5,582.3,599.1,3.99000,0.0
7,bitcoin,,2014-06-17 00:00:00,608.4,594.9,599.1,605.1,3.00000,0.0
8,bitcoin,,2014-06-18 00:00:00,614.4,603.6,605.1,606.2,3.31000,0.0
9,bitcoin,,2014-06-19 00:00:00,612.6,598.7,606.2,600.2,5.60000,0.0
10,bitcoin,,2014-06-20 00:00:00,602.0,587.1,600.2,590.8,2.15000,0.0
11,bitcoin,,2014-06-21 00:00:00,599.2,584.8,590.8,597.0,2.28000,0.0
12,bitcoin,,2014-06-22 00:00:00,610.1,592.0,597.0,603.6,2.04000,0.0
13,bitcoin,,2014-06-23 00:00:00,604.7,582.9,603.6,591.2,2.65000,0.0
14,bitcoin,,2014-06-24 00:00:00,595.7,585.4,591.2,588.8,3.08000,0.0
15,bitcoin,,2014-06-25 00:00:00,589.6,566.9,588.8,568.5,3.09000,0.0
16,bitcoin,,2014-06-26 00:00:00,582.7,565.8,568.5,582.7,4.15000,0.0
17,bitcoin,,2014-06-27 00:00:00,603.9,580.1,582.7,602.2,3.39000,0.0
18,bitcoin,,2014-06-28 00:00:00,608.8,594.0,602.2,597.6,2.94000,0.0
19,bitcoin,,2014-06-29 00:00:00,604.3,593.2,597.6,601.1,2.89000,0.0
20,bitcoin,,2014-06-30 00:00:00,637.3,596.5,601.1,635.1,3.83000,0.0
21,bitcoin,,2014-07-01 00:00:00,652.5,634.1,635.1,643.2,4.11000,0.0
22,bitcoin,,2014-07-02 00:00:00,652.1,604.6,643.2,645.7,4.78000,0.0
23,bitcoin,,2014-07-03 00:00:00,646.4,633.6,645.7,638.0,4.01000,0.0
24,bitcoin,,2014-07-04 00:00:00,642.2,623.0,638.0,624.0,3.60000,0.0
25,bitcoin,,2014-07-05 00:00:00,627.8,619.7,624.0,623.0,3.25000,0.0
26,bitcoin,,2014-07-06 00:00:00,629.4,622.7,623.0,626.7,2.70000,0.0
27,bitcoin,,2014-07-07 00:00:00,627.9,607.3,626.7,613.6,2.53000,0.0
28,bitcoin,,2014-07-08 00:00:00,619.7,609.3,613.6,615.3,3.21000,0.0
29,bitcoin,,2014-07-09 00:00:00,623.8,610.5,615.3,623.0,3.07000,0.0
30,bitcoin,,2014-07-10 00:00:00,625.0,611.7,623.0,618.4,3.61000,0.0
31,bitcoin,,2014-07-11 00:00:00,633.6,616.1,618.4,632.9,3.12000,0.0
32,bitcoin,,2014-07-12 00:00:00,638.6,625.9,632.9,635.9,3.43000,0.0
33,bitcoin,,2014-07-13 00:00:00,638.6,627.5,635.9,628.0,1.70000,0.0
34,bitcoin,,2014-07-14 00:00:00,629.0,616.1,628.0,618.3,2.55000,0.0
35,bitcoin,,2014-07-15 00:00:00,624.4,617.3,618.3,619.6,3.69000,0.0
36,bitcoin,,2014-07-16 00:00:00,622.4,614.2,619.6,614.8,3.00000,0.0
37,bitcoin,,2014-07-17 00:00:00,632.5,610.0,614.8,626.6,2.92000,0.0
38,bitcoin,,2014-07-18 00:00:00,630.2,617.9,626.6,627.5,3.35000,0.0
39,bitcoin,,2014-07-19 00:00:00,634.1,625.1,627.5,627.0,3.96000,0.0
40,bitcoin,,2014-07-20 00:00:00,627.9,620.0,627.0,621.0,2.30000,0.0
41,bitcoin,,2014-07-21 00:00:00,625.9,615.0,621.0,625.1,2.53000,0.0
42,bitcoin,,2014-07-22 00:00:00,628.8,620.0,625.1,622.5,3.28000,0.0
43,bitcoin,,2014-07-23 00:00:00,625.0,621.0,622.5,621.7,2.17000,0.0
