SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Ethereum,,2016-03-10 00:00:00,11.85,11.07,11.2,11.75,0.00000,0.0
2,Ethereum,,2016-03-11 00:00:00,11.95,11.75,11.75,11.95,0.18000,0.0
3,Ethereum,,2016-03-12 00:00:00,13.45,11.95,11.95,12.92,0.83000,0.0
4,Ethereum,,2016-03-13 00:00:00,15.07,12.92,12.92,15.07,1.30000,0.0
5,Ethereum,,2016-03-14 00:00:00,15.07,11.4,15.07,12.5,92.18000,0.0
6,Ethereum,,2016-03-15 00:00:00,13.42,11.98,12.63,13.06,39.73000,0.0
7,Ethereum,,2016-03-16 00:00:00,13.89,12.62,13.06,12.88,19.24000,0.0
8,Ethereum,,2016-03-17 00:00:00,12.61,10.44,12.58,10.74,89.45000,0.0
9,Ethereum,,2016-03-18 00:00:00,11.2,8.34,11.09,10.74,157.37000,0.0
10,Ethereum,,2016-03-19 00:00:00,11.1,9.78,10.97,10.31,67.55000,0.0
11,Ethereum,,2016-03-20 00:00:00,10.88,9.56,10.55,10.18,33.18000,0.0
12,Ethereum,,2016-03-21 00:00:00,12.05,10.14,10.18,11.95,38.86000,0.0
13,Ethereum,,2016-03-22 00:00:00,11.97,11.08,11.53,11.37,26.29000,0.0
14,Ethereum,,2016-03-23 00:00:00,12.43,11.2,11.37,12.43,27.02000,0.0
15,Ethereum,,2016-03-24 00:00:00,12.47,10.67,12.43,11.2,50.80000,0.0
16,Ethereum,,2016-03-25 00:00:00,11.35,10.52,11.32,10.67,87.42000,0.0
17,Ethereum,,2016-03-26 00:00:00,11.2,10.58,10.67,11.0,16.12000,0.0
18,Ethereum,,2016-03-27 00:00:00,10.98,10.17,10.93,10.4,55.81000,0.0
19,Ethereum,,2016-03-28 00:00:00,11.94,10.4,10.4,11.62,77.31000,0.0
20,Ethereum,,2016-03-29 00:00:00,11.88,11.37,11.78,11.79,47.57000,0.0
21,Ethereum,,2016-03-30 00:00:00,12.3,11.44,11.79,11.85,36.96000,0.0
22,Ethereum,,2016-03-31 00:00:00,12.02,11.29,11.92,11.41,32.67000,0.0
23,Ethereum,,2016-04-01 00:00:00,11.94,11.39,11.41,11.62,22.20000,0.0
24,Ethereum,,2016-04-02 00:00:00,11.77,11.43,11.65,11.61,12.17000,0.0
25,Ethereum,,2016-04-03 00:00:00,11.76,11.4,11.61,11.75,18.85000,0.0
26,Ethereum,,2016-04-04 00:00:00,11.67,10.88,11.6,11.15,38.74000,0.0
27,Ethereum,,2016-04-05 00:00:00,11.15,9.7,11.15,10.4,53.39000,0.0
28,Ethereum,,2016-04-06 00:00:00,10.96,10.2,10.4,10.76,40.04000,0.0
29,Ethereum,,2016-04-07 00:00:00,10.85,9.4,10.76,10.12,50.74000,0.0
30,Ethereum,,2016-04-08 00:00:00,10.34,9.6,10.05,9.71,25.97000,0.0
31,Ethereum,,2016-04-09 00:00:00,10.2,9.0,9.69,9.15,64.96000,0.0
32,Ethereum,,2016-04-10 00:00:00,9.43,7.52,9.15,8.76,171.99000,0.0
33,Ethereum,,2016-04-11 00:00:00,8.93,8.01,8.56,8.68,60.28000,0.0
34,Ethereum,,2016-04-12 00:00:00,8.54,7.21,8.53,7.53,63.82000,0.0
35,Ethereum,,2016-04-13 00:00:00,8.8,6.86,7.48,8.09,142.21000,0.0
36,Ethereum,,2016-04-14 00:00:00,8.86,8.0,8.08,8.46,36.15000,0.0
37,Ethereum,,2016-04-15 00:00:00,8.69,8.1,8.39,8.32,30.48000,0.0
38,Ethereum,,2016-04-16 00:00:00,8.68,8.18,8.23,8.54,29.26000,0.0
39,Ethereum,,2016-04-17 00:00:00,10.9,8.61,8.7,9.46,96.05000,0.0
40,Ethereum,,2016-04-18 00:00:00,9.55,8.44,9.3,8.97,37.88000,0.0
41,Ethereum,,2016-04-19 00:00:00,9.38,8.65,8.97,8.71,35.26000,0.0
42,Ethereum,,2016-04-20 00:00:00,9.05,8.35,8.73,8.61,167.71000,0.0
43,Ethereum,,2016-04-21 00:00:00,8.8,8.0,8.61,8.11,45.52000,0.0
44,Ethereum,,2016-04-22 00:00:00,8.41,7.73,8.23,7.97,97.37000,0.0
45,Ethereum,,2016-04-23 00:00:00,8.8,7.81,7.95,8.46,89.57000,0.0
46,Ethereum,,2016-04-24 00:00:00,8.5,8.01,8.35,8.1,52.06000,0.0
47,Ethereum,,2016-04-25 00:00:00,8.15,7.32,8.05,7.54,207.06000,0.0
48,Ethereum,,2016-04-26 00:00:00,7.6,7.12,7.56,7.5,129.27000,0.0
49,Ethereum,,2016-04-27 00:00:00,7.99,7.31,7.4,7.8,90.46000,0.0
50,Ethereum,,2016-04-28 00:00:00,7.87,7.25,7.73,7.33,69.40000,0.0
51,Ethereum,,2016-04-29 00:00:00,7.72,7.19,7.23,7.52,51.16000,0.0
52,Ethereum,,2016-04-30 00:00:00,9.36,7.45,7.45,8.87,267.97000,0.0
53,Ethereum,,2016-05-01 00:00:00,9.0,8.35,8.74,8.75,71.99000,0.0
54,Ethereum,,2016-05-02 00:00:00,10.3,8.79,8.83,10.0,295.38000,0.0
55,Ethereum,,2016-05-03 00:00:00,10.01,9.18,10.01,9.34,128.32000,0.0
56,Ethereum,,2016-05-04 00:00:00,10.0,9.25,9.38,9.46,74.70000,0.0
57,Ethereum,,2016-05-05 00:00:00,10.0,9.3,9.4,9.79,62.44000,0.0
58,Ethereum,,2016-05-06 00:00:00,9.98,9.12,9.85,9.35,92.42000,0.0
59,Ethereum,,2016-05-07 00:00:00,9.64,9.2,9.45,9.35,31.39000,0.0
60,Ethereum,,2016-05-08 00:00:00,9.64,9.0,9.41,9.5,80.09000,0.0
61,Ethereum,,2016-05-09 00:00:00,9.65,9.25,9.51,9.32,77.29000,0.0
62,Ethereum,,2016-05-10 00:00:00,9.47,9.28,9.31,9.38,18.32000,0.0
63,Ethereum,,2016-05-11 00:00:00,9.98,9.3,9.38,9.89,110.31000,0.0
64,Ethereum,,2016-05-12 00:00:00,10.47,9.79,9.92,10.04,142.19000,0.0
65,Ethereum,,2016-05-13 00:00:00,11.11,10.08,10.09,10.6,194.28000,0.0
66,Ethereum,,2016-05-14 00:00:00,10.75,9.71,10.6,10.16,121.86000,0.0
67,Ethereum,,2016-05-15 00:00:00,10.42,9.93,10.25,9.97,42.73000,0.0
68,Ethereum,,2016-05-16 00:00:00,11.47,10.0,10.01,11.09,257.21000,0.0
69,Ethereum,,2016-05-17 00:00:00,12.6,11.1,11.15,12.08,540.97000,0.0
70,Ethereum,,2016-05-18 00:00:00,14.4,12.21,12.28,13.35,420.07000,0.0
71,Ethereum,,2016-05-19 00:00:00,14.65,13.2,13.4,14.58,393.14000,0.0
72,Ethereum,,2016-05-20 00:00:00,14.89,13.31,14.74,13.79,338.69000,0.0
73,Ethereum,,2016-05-21 00:00:00,14.0,13.01,13.6,14.0,209.03000,0.0
74,Ethereum,,2016-05-22 00:00:00,14.51,13.62,14.06,14.21,118.19000,0.0
75,Ethereum,,2016-05-23 00:00:00,14.49,13.32,14.21,13.42,170.09000,0.0
76,Ethereum,,2016-05-24 00:00:00,13.82,12.0,13.38,12.73,437.47000,0.0
77,Ethereum,,2016-05-25 00:00:00,12.99,11.8,12.84,12.49,247.58000,0.0
78,Ethereum,,2016-05-26 00:00:00,13.07,12.13,12.52,12.48,215.64000,0.0
79,Ethereum,,2016-05-27 00:00:00,12.43,10.53,12.4,11.12,645.84000,0.0
80,Ethereum,,2016-05-28 00:00:00,12.5,10.38,10.99,11.98,587.07000,0.0
81,Ethereum,,2016-05-29 00:00:00,12.89,11.78,11.8,12.41,455.11000,0.0
82,Ethereum,,2016-05-30 00:00:00,12.81,12.3,12.44,12.72,122.98000,0.0
83,Ethereum,,2016-05-31 00:00:00,14.28,12.6,12.78,14.01,517.98000,0.0
84,Ethereum,,2016-06-01 00:00:00,14.3,13.46,14.07,13.85,289.63000,0.0
85,Ethereum,,2016-06-02 00:00:00,14.03,13.61,13.94,13.8,155.53000,0.0
86,Ethereum,,2016-06-03 00:00:00,13.99,13.42,13.82,13.84,200.81000,0.0
87,Ethereum,,2016-06-04 00:00:00,13.9,13.4,13.9,13.81,139.12000,0.0
88,Ethereum,,2016-06-05 00:00:00,13.97,13.69,13.75,13.95,54.66000,0.0
89,Ethereum,,2016-06-06 00:00:00,14.19,13.8,14.0,14.03,105.55000,0.0
90,Ethereum,,2016-06-07 00:00:00,14.7,13.88,13.94,14.5,199.89000,0.0
91,Ethereum,,2016-06-08 00:00:00,14.89,14.3,14.6,14.49,257.01000,0.0
92,Ethereum,,2016-06-09 00:00:00,14.7,14.37,14.51,14.45,64.98000,0.0
93,Ethereum,,2016-06-10 00:00:00,14.46,13.56,14.44,13.97,220.15000,0.0
94,Ethereum,,2016-06-11 00:00:00,14.28,13.81,13.95,14.15,109.42000,0.0
95,Ethereum,,2016-06-12 00:00:00,16.09,14.25,14.3,15.8,550.47000,0.0
96,Ethereum,,2016-06-13 00:00:00,17.91,15.7,15.75,17.73,896.99000,0.0
97,Ethereum,,2016-06-14 00:00:00,19.41,16.0,17.65,18.73,1.17M,0.0
98,Ethereum,,2016-06-15 00:00:00,18.75,17.55,18.7,18.45,365.42000,0.0
99,Ethereum,,2016-06-16 00:00:00,21.1,18.44,18.61,20.7,1.02M,0.0
100,Ethereum,,2016-06-17 00:00:00,21.69,11.51,20.86,15.61,4.72M,0.0
101,Ethereum,,2016-06-18 00:00:00,15.3,10.13,15.19,11.41,3.04M,0.0
102,Ethereum,,2016-06-19 00:00:00,13.36,10.55,10.76,12.43,1.14M,0.0
103,Ethereum,,2016-06-20 00:00:00,12.49,10.51,12.33,11.9,1.11M,0.0
104,Ethereum,,2016-06-21 00:00:00,12.98,11.2,11.67,12.94,644.71000,0.0
105,Ethereum,,2016-06-22 00:00:00,15.9,12.95,13.75,13.25,1.83M,0.0
106,Ethereum,,2016-06-23 00:00:00,14.0,12.5,13.26,13.75,521.61000,0.0
107,Ethereum,,2016-06-24 00:00:00,14.46,13.1,13.76,14.29,551.44000,0.0
108,Ethereum,,2016-06-25 00:00:00,14.84,13.91,14.39,14.31,262.84000,0.0
109,Ethereum,,2016-06-26 00:00:00,14.4,13.53,14.22,13.75,213.87000,0.0
110,Ethereum,,2016-06-27 00:00:00,14.19,13.68,13.71,13.96,135.03000,0.0
111,Ethereum,,2016-06-28 00:00:00,14.07,11.51,13.95,12.22,896.16000,0.0
112,Ethereum,,2016-06-29 00:00:00,13.05,11.57,12.08,12.77,427.25000,0.0
113,Ethereum,,2016-06-30 00:00:00,12.88,12.2,12.64,12.5,213.19000,0.0
114,Ethereum,,2016-07-01 00:00:00,12.58,11.74,12.5,12.35,302.72000,0.0
115,Ethereum,,2016-07-02 00:00:00,12.2,11.95,12.17,12.14,86.17000,0.0
116,Ethereum,,2016-07-03 00:00:00,12.11,11.56,12.06,11.78,196.78000,0.0
117,Ethereum,,2016-07-04 00:00:00,11.85,11.35,11.65,11.42,147.79000,0.0
118,Ethereum,,2016-07-05 00:00:00,11.49,9.35,11.42,10.53,1.12M,0.0
119,Ethereum,,2016-07-06 00:00:00,11.12,10.22,10.37,10.55,327.60000,0.0
120,Ethereum,,2016-07-07 00:00:00,10.67,9.73,10.58,10.14,291.46000,0.0
121,Ethereum,,2016-07-08 00:00:00,11.65,9.9,10.16,11.31,533.97000,0.0
122,Ethereum,,2016-07-09 00:00:00,11.43,10.4,11.37,10.9,431.16000,0.0
123,Ethereum,,2016-07-10 00:00:00,11.02,10.74,10.83,10.95,75.85000,0.0
124,Ethereum,,2016-07-11 00:00:00,11.09,10.2,10.95,10.51,287.84000,0.0
125,Ethereum,,2016-07-12 00:00:00,10.8,10.4,10.48,10.55,143.68000,0.0
126,Ethereum,,2016-07-13 00:00:00,10.6,10.43,10.55,10.47,62.85000,0.0
127,Ethereum,,2016-07-14 00:00:00,11.79,10.69,10.7,11.6,419.07000,0.0
128,Ethereum,,2016-07-15 00:00:00,12.55,11.37,11.5,11.93,600.62000,0.0
129,Ethereum,,2016-07-16 00:00:00,12.05,11.72,11.95,11.72,127.93000,0.0
130,Ethereum,,2016-07-17 00:00:00,11.74,11.02,11.72,11.24,575.47000,0.0
131,Ethereum,,2016-07-18 00:00:00,11.75,11.01,11.31,11.04,252.34000,0.0
132,Ethereum,,2016-07-19 00:00:00,12.24,11.07,11.09,11.75,678.52000,0.0
133,Ethereum,,2016-07-20 00:00:00,13.04,11.55,11.7,12.48,1.65M,0.0
134,Ethereum,,2016-07-21 00:00:00,12.75,12.03,12.52,12.55,534.75000,0.0
135,Ethereum,,2016-07-22 00:00:00,15.15,12.53,12.67,14.67,1.57M,0.0
136,Ethereum,,2016-07-23 00:00:00,14.85,13.9,14.55,14.25,638.42000,0.0
137,Ethereum,,2016-07-24 00:00:00,14.44,12.17,14.33,12.65,1.65M,0.0
138,Ethereum,,2016-07-25 00:00:00,13.8,12.75,12.86,13.8,742.81000,0.0
139,Ethereum,,2016-07-26 00:00:00,13.86,11.91,13.55,12.01,1.36M,0.0
140,Ethereum,,2016-07-27 00:00:00,13.28,11.78,12.01,13.03,377.97000,0.0
141,Ethereum,,2016-07-28 00:00:00,13.0,12.54,12.93,12.87,300.44000,0.0
142,Ethereum,,2016-07-29 00:00:00,12.94,12.6,12.87,12.9,183.46000,0.0
143,Ethereum,,2016-07-30 00:00:00,12.85,12.47,12.85,12.52,171.50000,0.0
144,Ethereum,,2016-07-31 00:00:00,12.55,11.3,12.45,11.86,419.36000,0.0
145,Ethereum,,2016-08-01 00:00:00,12.04,11.08,12.0,11.08,318.87000,0.0
146,Ethereum,,2016-08-02 00:00:00,11.2,9.9,11.04,10.16,882.66000,0.0
147,Ethereum,,2016-08-03 00:00:00,10.16,10.16,10.16,10.16,,0.0
148,Ethereum,,2016-08-04 00:00:00,10.16,10.16,10.16,10.16,,0.0
149,Ethereum,,2016-08-05 00:00:00,10.16,10.16,10.16,10.16,,0.0
150,Ethereum,,2016-08-06 00:00:00,10.16,10.16,10.16,10.16,,0.0
151,Ethereum,,2016-08-07 00:00:00,10.16,10.16,10.16,10.16,,0.0
152,Ethereum,,2016-08-08 00:00:00,10.16,10.16,10.16,10.16,,0.0
153,Ethereum,,2016-08-09 00:00:00,10.16,10.16,10.16,10.16,,0.0
154,Ethereum,,2016-08-10 00:00:00,12.33,11.86,11.99,12.07,383.91000,0.0
155,Ethereum,,2016-08-11 00:00:00,12.1,11.57,11.9,11.64,339.86000,0.0
156,Ethereum,,2016-08-12 00:00:00,11.99,11.57,11.71,11.67,254.56000,0.0
157,Ethereum,,2016-08-13 00:00:00,11.76,11.4,11.69,11.48,138.26000,0.0
158,Ethereum,,2016-08-14 00:00:00,11.67,11.0,11.48,11.16,188.63000,0.0
159,Ethereum,,2016-08-15 00:00:00,11.28,10.88,11.16,11.09,140.55000,0.0
160,Ethereum,,2016-08-16 00:00:00,11.17,10.83,11.15,11.07,65.95000,0.0
161,Ethereum,,2016-08-17 00:00:00,11.07,10.65,11.07,10.72,456.39000,0.0
162,Ethereum,,2016-08-18 00:00:00,10.97,10.66,10.72,10.69,162.11000,0.0
163,Ethereum,,2016-08-19 00:00:00,10.76,10.61,10.69,10.68,139.95000,0.0
164,Ethereum,,2016-08-20 00:00:00,11.3,10.68,10.69,11.26,190.53000,0.0
165,Ethereum,,2016-08-21 00:00:00,11.3,10.93,11.26,11.13,49.47000,0.0
166,Ethereum,,2016-08-22 00:00:00,11.36,11.0,11.2,11.14,81.73000,0.0
167,Ethereum,,2016-08-23 00:00:00,11.28,10.9,11.14,10.99,64.41000,0.0
168,Ethereum,,2016-08-24 00:00:00,11.2,10.96,11.03,10.98,37.43000,0.0
169,Ethereum,,2016-08-25 00:00:00,11.39,10.97,10.98,11.39,82.80000,0.0
170,Ethereum,,2016-08-26 00:00:00,11.42,11.13,11.39,11.22,30.15000,0.0
171,Ethereum,,2016-08-27 00:00:00,11.26,11.13,11.26,11.2,8.96000,0.0
172,Ethereum,,2016-08-28 00:00:00,11.16,10.92,11.11,10.94,35.30000,0.0
173,Ethereum,,2016-08-29 00:00:00,11.18,10.78,10.94,10.93,63.32000,0.0
174,Ethereum,,2016-08-30 00:00:00,11.39,10.94,11.03,11.29,42.08000,0.0
175,Ethereum,,2016-08-31 00:00:00,11.63,11.17,11.33,11.63,39.51000,0.0
176,Ethereum,,2016-09-01 00:00:00,12.6,11.61,11.66,12.22,82.45000,0.0
177,Ethereum,,2016-09-02 00:00:00,12.38,11.91,12.22,12.13,60.24000,0.0
178,Ethereum,,2016-09-03 00:00:00,12.43,11.65,12.13,12.01,87.38000,0.0
179,Ethereum,,2016-09-04 00:00:00,11.96,11.6,11.88,11.73,51.04000,0.0
180,Ethereum,,2016-09-05 00:00:00,11.92,11.65,11.73,11.85,35.55000,0.0
181,Ethereum,,2016-09-06 00:00:00,11.92,11.45,11.85,11.73,83.93000,0.0
182,Ethereum,,2016-09-07 00:00:00,11.82,11.6,11.73,11.64,24.16000,0.0
183,Ethereum,,2016-09-08 00:00:00,11.96,11.26,11.64,11.45,74.77000,0.0
184,Ethereum,,2016-09-09 00:00:00,11.9,11.4,11.45,11.68,201.86000,0.0
185,Ethereum,,2016-09-10 00:00:00,12.18,11.58,11.72,12.13,89.50000,0.0
186,Ethereum,,2016-09-11 00:00:00,12.3,11.6,12.13,11.68,137.76000,0.0
187,Ethereum,,2016-09-12 00:00:00,12.05,11.67,11.8,12.0,61.67000,0.0
