SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Wrapped Bitcoin,,2021-09-14 00:00:00,47229.57,44691.55,44912.4,47061.18,,0.0
2,Wrapped Bitcoin,,2021-09-15 00:00:00,48440.68,46733.64,47061.18,48191.23,,0.0
3,Wrapped Bitcoin,,2021-09-16 00:00:00,48502.18,47048.45,48191.23,47769.82,,0.0
4,Wrapped Bitcoin,,2021-09-17 00:00:00,48160.81,46801.59,47769.82,47288.42,,0.0
5,Wrapped Bitcoin,,2021-09-18 00:00:00,48768.89,47097.46,47288.42,48271.37,,0.0
6,Wrapped Bitcoin,,2021-09-19 00:00:00,48318.03,46843.95,48271.37,47222.48,,0.0
7,Wrapped Bitcoin,,2021-09-20 00:00:00,47311.88,42556.41,47222.48,42852.55,,0.0
8,Wrapped Bitcoin,,2021-09-21 00:00:00,43568.63,39633.23,42852.55,40669.24,,0.0
9,Wrapped Bitcoin,,2021-09-22 00:00:00,43949.45,40586.68,40669.24,43547.47,,0.0
10,Wrapped Bitcoin,,2021-09-23 00:00:00,44916.89,43082.72,43547.47,44856.44,,0.0
11,Wrapped Bitcoin,,2021-09-24 00:00:00,45060.84,40883.07,44856.44,42808.22,,0.0
12,Wrapped Bitcoin,,2021-09-25 00:00:00,42932.59,41697.25,42808.22,42659.98,,0.0
13,Wrapped Bitcoin,,2021-09-26 00:00:00,43881.09,40762.33,42659.98,43161.41,,0.0
14,Wrapped Bitcoin,,2021-09-27 00:00:00,44289.2,42136.54,43161.41,42209.79,,0.0
15,Wrapped Bitcoin,,2021-09-28 00:00:00,42751.18,40912.44,42209.79,40979.51,,0.0
16,Wrapped Bitcoin,,2021-09-29 00:00:00,42563.83,40814.29,40979.51,41564.84,,0.0
17,Wrapped Bitcoin,,2021-09-30 00:00:00,44098.32,41409.94,41564.84,43782.84,,0.0
18,Wrapped Bitcoin,,2021-10-01 00:00:00,48407.55,43290.04,43782.84,48151.18,,0.0
19,Wrapped Bitcoin,,2021-10-02 00:00:00,48272.2,47440.7,48151.18,47699.09,,0.0
20,Wrapped Bitcoin,,2021-10-03 00:00:00,49157.25,47176.89,47699.09,48200.0,,0.0
21,Wrapped Bitcoin,,2021-10-04 00:00:00,49482.93,46972.76,48200.0,49241.75,,0.0
22,Wrapped Bitcoin,,2021-10-05 00:00:00,51864.63,49067.71,49241.75,51490.73,,0.0
23,Wrapped Bitcoin,,2021-10-06 00:00:00,55558.33,50461.66,51490.73,55340.34,,0.0
24,Wrapped Bitcoin,,2021-10-07 00:00:00,55340.34,53512.57,55340.34,53803.12,,0.0
25,Wrapped Bitcoin,,2021-10-08 00:00:00,55984.89,53695.65,53803.12,53964.4,,0.0
26,Wrapped Bitcoin,,2021-10-09 00:00:00,55423.82,53732.54,53964.4,54961.54,,0.0
27,Wrapped Bitcoin,,2021-10-10 00:00:00,56461.63,54083.29,54961.54,54756.43,,0.0
28,Wrapped Bitcoin,,2021-10-11 00:00:00,57798.96,54514.98,54756.43,57502.87,,0.0
29,Wrapped Bitcoin,,2021-10-12 00:00:00,57657.06,54410.0,57502.87,56047.62,,0.0
30,Wrapped Bitcoin,,2021-10-13 00:00:00,57738.02,54340.03,56047.62,57433.98,,0.0
31,Wrapped Bitcoin,,2021-10-14 00:00:00,58548.86,56957.88,57433.98,57338.11,,0.0
32,Wrapped Bitcoin,,2021-10-15 00:00:00,62967.27,56908.42,57338.11,61689.27,,0.0
33,Wrapped Bitcoin,,2021-10-16 00:00:00,62339.56,60219.75,61689.27,60922.66,,0.0
34,Wrapped Bitcoin,,2021-10-17 00:00:00,61642.02,59186.39,60922.66,61566.16,,0.0
35,Wrapped Bitcoin,,2021-10-18 00:00:00,62648.71,60084.09,61566.16,62087.47,,0.0
36,Wrapped Bitcoin,,2021-10-19 00:00:00,64465.2,61452.7,62087.47,64299.48,,0.0
37,Wrapped Bitcoin,,2021-10-20 00:00:00,67004.69,63610.93,64299.48,66079.21,,0.0
38,Wrapped Bitcoin,,2021-10-21 00:00:00,66692.2,62113.59,66079.21,62223.26,,0.0
39,Wrapped Bitcoin,,2021-10-22 00:00:00,63738.85,60093.09,62223.26,60706.92,,0.0
40,Wrapped Bitcoin,,2021-10-23 00:00:00,61762.34,59770.01,60706.92,61376.46,,0.0
41,Wrapped Bitcoin,,2021-10-24 00:00:00,61527.35,59556.55,61376.46,60940.93,,0.0
42,Wrapped Bitcoin,,2021-10-25 00:00:00,63722.93,60682.23,60940.93,63138.8,,0.0
43,Wrapped Bitcoin,,2021-10-26 00:00:00,63298.55,59982.02,63138.8,60325.5,,0.0
44,Wrapped Bitcoin,,2021-10-27 00:00:00,61527.35,58109.75,60325.5,58428.74,,0.0
45,Wrapped Bitcoin,,2021-10-28 00:00:00,62116.7,58117.38,58428.74,60626.89,,0.0
46,Wrapped Bitcoin,,2021-10-29 00:00:00,62967.27,60373.95,60626.89,62249.54,,0.0
47,Wrapped Bitcoin,,2021-10-30 00:00:00,62327.1,60873.4,62249.54,61899.75,,0.0
48,Wrapped Bitcoin,,2021-10-31 00:00:00,62411.11,60000.0,61899.75,61327.41,,0.0
49,Wrapped Bitcoin,,2021-11-01 00:00:00,62431.34,59609.66,61327.41,60968.92,,0.0
50,Wrapped Bitcoin,,2021-11-02 00:00:00,64248.55,60667.07,60968.92,63196.46,,0.0
51,Wrapped Bitcoin,,2021-11-03 00:00:00,63507.94,60925.7,63196.46,62951.54,,0.0
52,Wrapped Bitcoin,,2021-11-04 00:00:00,63070.62,60774.61,62951.54,61408.84,,0.0
53,Wrapped Bitcoin,,2021-11-05 00:00:00,62528.12,60740.74,61408.84,61031.12,,0.0
54,Wrapped Bitcoin,,2021-11-06 00:00:00,61560.0,60111.18,61031.12,61484.33,,0.0
55,Wrapped Bitcoin,,2021-11-07 00:00:00,63292.22,61333.54,61484.33,63292.22,,0.0
56,Wrapped Bitcoin,,2021-11-08 00:00:00,67820.34,63289.05,63292.22,67545.58,,0.0
57,Wrapped Bitcoin,,2021-11-09 00:00:00,68510.27,66336.2,67545.58,66972.54,,0.0
58,Wrapped Bitcoin,,2021-11-10 00:00:00,69026.91,62957.84,66972.54,64996.75,,0.0
59,Wrapped Bitcoin,,2021-11-11 00:00:00,65603.27,64118.59,64996.75,64837.98,,0.0
60,Wrapped Bitcoin,,2021-11-12 00:00:00,65474.47,62327.1,64837.98,64200.9,,0.0
61,Wrapped Bitcoin,,2021-11-13 00:00:00,64977.27,63393.54,64200.9,64439.79,,0.0
62,Wrapped Bitcoin,,2021-11-14 00:00:00,65421.0,63622.77,64439.79,65421.0,4.85M,0.0
63,Wrapped Bitcoin,,2021-11-15 00:00:00,66383.0,63315.0,65421.0,63992.0,9.42M,0.0
64,Wrapped Bitcoin,,2021-11-16 00:00:00,63992.0,57798.0,63992.0,60136.0,8.99M,0.0
65,Wrapped Bitcoin,,2021-11-17 00:00:00,60805.0,58467.0,60136.0,60447.0,6.78M,0.0
66,Wrapped Bitcoin,,2021-11-18 00:00:00,61017.0,56168.0,60447.0,56862.0,10.62M,0.0
67,Wrapped Bitcoin,,2021-11-19 00:00:00,58267.0,55317.0,57000.0,58117.0,8.11M,0.0
68,Wrapped Bitcoin,,2021-11-20 00:00:00,59849.0,57486.0,58117.0,59623.0,3.11M,0.0
69,Wrapped Bitcoin,,2021-11-21 00:00:00,60070.0,58516.0,59623.0,58689.0,8.77M,0.0
70,Wrapped Bitcoin,,2021-11-22 00:00:00,59572.0,55662.0,58689.0,56376.0,10.23M,0.0
