SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,bnb,,2017-11-09 00:00:00,2.2,1.9,1.99,1.99,283.35000,0.0
2,bnb,,2017-11-10 00:00:00,2.02,1.6,1.99,1.71,483.23000,0.0
3,bnb,,2017-11-11 00:00:00,1.93,1.58,1.71,1.66,256.71000,0.0
4,bnb,,2017-11-12 00:00:00,1.7,1.34,1.66,1.49,456.48000,0.0
5,bnb,,2017-11-13 00:00:00,1.74,1.49,1.49,1.68,166.01000,0.0
6,bnb,,2017-11-14 00:00:00,1.74,1.53,1.68,1.59,173.13000,0.0
7,bnb,,2017-11-15 00:00:00,1.68,1.49,1.59,1.55,291.61000,0.0
8,bnb,,2017-11-16 00:00:00,1.67,1.51,1.55,1.56,193.73000,0.0
9,bnb,,2017-11-17 00:00:00,1.58,1.49,1.56,1.5,419.40000,0.0
10,bnb,,2017-11-18 00:00:00,1.67,1.49,1.5,1.67,168.62000,0.0
11,bnb,,2017-11-19 00:00:00,1.69,1.58,1.67,1.6,172.57000,0.0
12,bnb,,2017-11-20 00:00:00,1.65,1.56,1.6,1.64,158.70000,0.0
13,bnb,,2017-11-21 00:00:00,1.64,1.54,1.64,1.59,404.20000,0.0
14,bnb,,2017-11-22 00:00:00,1.62,1.56,1.59,1.62,179.15000,0.0
15,bnb,,2017-11-23 00:00:00,1.62,1.54,1.62,1.57,178.86000,0.0
16,bnb,,2017-11-24 00:00:00,1.82,1.54,1.57,1.73,631.81000,0.0
17,bnb,,2017-11-25 00:00:00,1.96,1.68,1.73,1.87,462.64000,0.0
18,bnb,,2017-11-26 00:00:00,1.91,1.76,1.87,1.84,192.60000,0.0
19,bnb,,2017-11-27 00:00:00,1.95,1.74,1.84,1.95,472.12000,0.0
20,bnb,,2017-11-28 00:00:00,1.95,1.8,1.95,1.92,357.69000,0.0
21,bnb,,2017-11-29 00:00:00,2.05,1.55,1.92,1.76,901.09000,0.0
22,bnb,,2017-11-30 00:00:00,2.04,1.71,1.76,1.95,736.32000,0.0
23,bnb,,2017-12-01 00:00:00,2.14,1.88,1.95,2.05,308.39000,0.0
24,bnb,,2017-12-02 00:00:00,2.12,1.98,2.05,2.08,240.59000,0.0
25,bnb,,2017-12-03 00:00:00,2.4,2.04,2.08,2.26,341.64000,0.0
26,bnb,,2017-12-04 00:00:00,2.59,2.26,2.26,2.55,369.61000,0.0
27,bnb,,2017-12-05 00:00:00,2.75,2.5,2.55,2.61,418.31000,0.0
28,bnb,,2017-12-06 00:00:00,2.8,2.33,2.61,2.51,369.57000,0.0
