SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,solana,,2020-07-13 00:00:00,1.279,1.009,1.009,1.279,,0.0
2,solana,,2020-07-14 00:00:00,1.279,1.114,1.279,1.115,,0.0
3,solana,,2020-07-15 00:00:00,1.384,1.115,1.115,1.383,,0.0
4,solana,,2020-07-21 00:00:00,1.005,0.874,0.874,1.004,,0.0
5,solana,,2020-07-22 00:00:00,1.087,1.003,1.004,1.046,,0.0
6,solana,,2020-07-23 00:00:00,1.087,1.005,1.046,1.044,,0.0
7,solana,,2020-07-25 00:00:00,1.379,0.986,0.986,1.274,,0.0
8,solana,,2020-07-26 00:00:00,1.61,1.249,1.274,1.61,,0.0
9,solana,,2020-07-27 00:00:00,2.067,1.61,1.61,1.731,,0.0
10,solana,,2020-07-28 00:00:00,1.821,1.63,1.731,1.787,,0.0
11,solana,,2020-07-29 00:00:00,2.051,1.618,1.787,1.65,,0.0
12,solana,,2020-07-30 00:00:00,1.785,1.649,1.649,1.67,,0.0
13,solana,,2020-07-31 00:00:00,1.67,1.554,1.67,1.555,,0.0
14,solana,,2020-08-01 00:00:00,1.649,1.495,1.555,1.617,,0.0
15,solana,,2020-08-02 00:00:00,1.717,1.436,1.617,1.716,,0.0
16,solana,,2020-08-03 00:00:00,1.83,1.682,1.716,1.786,,0.0
17,solana,,2020-08-04 00:00:00,1.933,1.786,1.786,1.896,,0.0
18,solana,,2020-08-05 00:00:00,1.896,1.783,1.896,1.784,,0.0
19,solana,,2020-08-06 00:00:00,2.178,1.783,1.784,2.178,,0.0
20,solana,,2020-08-07 00:00:00,2.178,1.895,2.178,2.051,,0.0
21,solana,,2020-08-08 00:00:00,2.601,2.012,2.051,2.5,,0.0
22,solana,,2020-08-09 00:00:00,2.706,2.31,2.5,2.706,,0.0
23,solana,,2020-08-10 00:00:00,3.313,2.5,2.706,3.184,,0.0
24,solana,,2020-08-11 00:00:00,3.445,2.772,3.184,3.445,,0.0
25,solana,,2020-08-12 00:00:00,3.88,3.183,3.445,3.728,,0.0
26,solana,,2020-08-13 00:00:00,4.12,3.585,3.728,3.728,,0.0
27,solana,,2020-08-14 00:00:00,3.729,3.377,3.728,3.377,,0.0
28,solana,,2020-08-15 00:00:00,3.655,3.179,3.377,3.179,,0.0
29,solana,,2020-08-16 00:00:00,3.445,3.179,3.179,3.378,,0.0
30,solana,,2020-08-17 00:00:00,3.378,3.121,3.378,3.121,,0.0
31,solana,,2020-08-18 00:00:00,3.585,2.9,3.121,3.378,,0.0
32,solana,,2020-08-19 00:00:00,3.445,2.883,3.378,2.942,,0.0
33,solana,,2020-08-20 00:00:00,3.377,2.939,2.942,3.184,,0.0
34,solana,,2020-08-21 00:00:00,3.184,2.94,3.184,2.94,,0.0
35,solana,,2020-08-22 00:00:00,3.184,2.717,2.94,3.06,,0.0
36,solana,,2020-08-23 00:00:00,3.379,3.059,3.06,3.312,,0.0
37,solana,,2020-08-24 00:00:00,3.585,3.246,3.312,3.31,,0.0
38,solana,,2020-08-25 00:00:00,3.312,3.064,3.31,3.265,,0.0
39,solana,,2020-08-26 00:00:00,3.784,3.199,3.265,3.563,,0.0
40,solana,,2020-08-27 00:00:00,3.796,3.336,3.563,3.442,,0.0
41,solana,,2020-08-28 00:00:00,4.234,3.442,3.442,4.008,,0.0
42,solana,,2020-08-29 00:00:00,4.079,3.802,4.008,3.979,,0.0
43,solana,,2020-08-30 00:00:00,4.575,3.925,3.979,4.439,,0.0
44,solana,,2020-08-31 00:00:00,4.843,4.158,4.439,4.758,,0.0
45,solana,,2020-09-01 00:00:00,4.934,4.327,4.758,4.327,,0.0
46,solana,,2020-09-02 00:00:00,4.355,3.826,4.327,4.151,,0.0
47,solana,,2020-09-03 00:00:00,4.312,3.526,4.151,3.526,,0.0
