Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
03.05.2024,"1.630,00","1.532,00","1.650,00","1.532,00","645,24K",+6.36%
02.05.2024,"1.532,50","1.510,00","1.545,00","1.505,50","419,56K",+1.83%
30.04.2024,"1.505,00","1.550,00","1.555,00","1.450,00","627,94K",+0.60%
29.04.2024,"1.496,00","1.469,00","1.508,00","1.469,00","511,73K",+1.77%
26.04.2024,"1.470,00","1.423,50","1.491,00","1.416,50","1,08M",+4.26%
25.04.2024,"1.410,00","1.399,50","1.440,00","1.392,00","244,52K",+1.69%
24.04.2024,"1.386,50","1.478,50","1.478,50","1.386,50","406,78K",-5.03%
23.04.2024,"1.460,00","1.465,00","1.472,00","1.444,00","434,47K",-0.58%
22.04.2024,"1.468,50","1.468,00","1.469,00","1.439,00","590,05K",+2.48%
19.04.2024,"1.433,00","1.468,00","1.470,00","1.430,00","365,70K",+0.14%
18.04.2024,"1.431,00","1.468,50","1.487,00","1.413,00","601,34K",+0.07%
17.04.2024,"1.430,00","1.408,00","1.436,00","1.390,00","300,98K",+1.82%
16.04.2024,"1.404,50","1.352,00","1.417,50","1.310,50","892,32K",-0.04%
15.04.2024,"1.405,00","1.552,50","1.562,50","1.388,00","751,38K",-9.88%
12.04.2024,"1.559,00","1.500,00","1.585,00","1.500,00","939,37K",+6.05%
11.04.2024,"1.470,00","1.455,00","1.480,00","1.406,00","352,33K",+1.38%
10.04.2024,"1.450,00","1.500,00","1.518,00","1.442,00","378,57K",-6.75%
09.04.2024,"1.555,00","1.440,00","1.555,00","1.375,00","377,78K",+10.28%
08.04.2024,"1.410,00","1.382,00","1.434,00","1.382,00","232,79K",+1.08%
05.04.2024,"1.395,00","1.405,50","1.435,00","1.382,00","277,51K",+0.11%
04.04.2024,"1.393,50","1.443,50","1.449,00","1.375,00","429,02K",-0.46%
03.04.2024,"1.400,00","1.380,00","1.464,50","1.340,00","300,11K",+2.60%
