Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
17.05.2024,32900,33500,34500,31900,"2,01M",-1.79%
16.05.2024,33500,33300,34000,32550,"3,10M",+0.60%
15.05.2024,33300,32750,33300,32100,"2,87M",+4.39%
14.05.2024,31900,32800,33150,31000,"2,10M",-1.85%
13.05.2024,32500,35000,35200,31900,"3,20M",-4.41%
10.05.2024,34000,33300,35400,32200,"4,68M",+4.91%
09.05.2024,32410,33000,33100,31720,"2,89M",-2.23%
08.05.2024,33150,34280,34900,32680,"2,34M",-1.87%
07.05.2024,33780,34200,34320,33180,"3,05M",+0.69%
06.05.2024,33550,32660,34000,31800,"2,98M",+2.79%
03.05.2024,32640,30640,33000,30640,"3,23M",+6.42%
02.05.2024,30670,30200,31000,30000,"2,10M",+2.17%
30.04.2024,30020,30400,31500,29000,"3,15M",+0.27%
29.04.2024,29940,29380,30180,29320,"2,56M",+1.94%
26.04.2024,29370,28360,29880,28210,"5,38M",+4.04%
25.04.2024,28230,27700,28800,27600,"1,26M",+1.77%
24.04.2024,27740,29570,29570,27600,"2,05M",-5.10%
23.04.2024,29230,29280,29600,28500,"2,17M",-0.07%
22.04.2024,29250,29360,29400,28760,"2,95M",+1.85%
19.04.2024,28720,28800,29500,28500,"1,83M",+0.49%
18.04.2024,28580,29200,29780,27800,"3,15M",-0.03%
17.04.2024,28590,28160,28780,27100,"1,55M",+1.78%
