"id","Nombre","Vol. promedio (3m)","Cap. mercado","Ingresos","PER","Beta"
"1","GP Fin Galicia","2,05M","5,46T","3,28T","15.66","1.82"
"2","Ternium Argentina","1,05M","3,94T","1,25T","17.03","0.658"
"3","Pampa Energía","1,75M","2,94T","513,73B","82.85","0.745"
"4","Telecom Argentina","130,35K","3,97T","2,06T","-14.78","0.821"
"5","Aluar","876,29K","2,45T","4,47B","74.44",""
"6","BBVA Banco Frances","356,33K","2,3T","1,99T","13.44",""
"7","Banco Macro B","354,93K","4,19T","2,84T","6.83","1.72"
"8","Edenor","505,66K","881,73B","701,10B","17.66","1.32"
"9","Transener","509,48K","652,11B","130,45B","95.2","1.37"
"10","Mirgor","8,86K","2,62T","996,37B","-16.51","1.24"
"11","Central Puerto","964,83K","1,82T","313,57B","11.8","0.97"
"12","Comercial del Plata","3,18M","357,13B","260,19B","-5.03","1.47"
"13","Cresud","446,85K","631,05B","77,68B","",""
"14","Holcim Argentina","35,94K","477,29B","238,94B","14.94","1.48"
"15","Trans. Gas Norte","342,69K","1,14T","99,44B","19.18","1.28"
"16","Trans. Gas Sur","368,83K","3,25T","452,81B","133.03","0.628"
"17","YPF","232,65K","10,23T","17,31B","-8.52","1.68"
"18","Grupo Supervielle","582,4K","651,36B","436,61B","8.99","1.79"
"19","BYMA","454,74K","1,19T","51,94B","11.11","1.08"
"20","Cablevisión","12,54K","856,34B","2,06T","-8.23","1.27"
"21","Banco de Valores","638,19K","217,76B","128,68B","88.93","0.631"
"22","Loma Negra","308,9K","195,61B","422,16B","18.48","1.43"
"23","Laboratorios Richmond","10,07K","73,97B","39,03B","-6.62","0.358"
