Unnamed: 0,Nombre,Último,Máximo,Mínimo,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,GP Fin Galicia,"3.695,000","3.800,000","3.638,000",-39800,"-1,07%","853,5K",20:08:00
,Ternium Argentina,894000,928000,889000,-20000,"-2,19%","339,41K",20:08:00
,Pampa Energía,"1.965,000","2.040,000","1.949,000",-71500,"-3,51%","1,1M",20:08:00
,Telecom Argentina,"1.942,95","2.048,70","1.920,00",-9900,"-4,85%","45,53K",20:08:00
,Aluar,880000,944000,878000,-38500,"-4,19%","1,1M",20:09:00
,BBVA Banco Frances,"3.640,00","3.810,00","3.565,30",-10410,"-2,78%","144,84K",20:08:00
,Banco Macro B,"6.589,65","6.814,00","6.467,00",-18840,"-2,78%","134,69K",20:09:00
,Edenor,"1.016,450","1.074,150",986000,-72250,"-6,64%","845,18K",20:09:00
,Transener,"1.350,000","1.400,000","1.330,000",-34000,"-2,46%","99,94K",20:09:00
,Mirgor,"15.110,50","15.400,00","14.800,00",-37100,"-2,40%","2,34K",20:07:00
,Central Puerto,"1.069,00","1.128,00","1.056,00",-4645,"-4,16%","347,18K",20:09:00
,Comercial del Plata,117000,122000,113000,-2950,"-2,46%","935,48K",20:09:00
,Cresud,"1.029,00","1.080,00","1.022,05",-3285,"-3,09%","222,15K",20:08:00
,Holcim Argentina,"1.290,500","1.370,000","1.280,000",-66000,"-4,87%","37,06K",20:08:00
,Trans. Gas Norte,"2.360,000","2.490,000","2.331,000",-87000,"-3,56%","119,22K",20:08:00
,Trans. Gas Sur,"3.964,000","4.050,000","3.868,800",-48300,"-1,20%","135,81K",20:08:00
,YPF,"24.499,95","25.000,00","24.269,05",-14995,"-0,61%","131,78K",20:09:00
,Grupo Supervielle,"1.527,900","1.565,000","1.472,150",-17600,"-1,14%","533,67K",20:09:00
,BYMA,33800,35200,33500,-200,"-0,59%","2,52M",20:09:00
,Cablevisión,"4.720,00","4.940,00","4.530,00",-5700,"-1,19%","4,57K",20:06:00
,Banco de Valores,321000,335000,320500,-3000,"-0,93%","1,56M",20:09:00
,Loma Negra,"1.569,950","1.671,500","1.565,000",-104100,"-6,22%","449,42K",20:09:00
,Laboratorios Richmond,872000,898000,850000,-21000,"-2,35%","1,48K",19:54:00
